UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Infrastructure,IND02647,Pratichi Mishra,5.1,,28,1.3,,0,0,4.2,7.2,7.6,,5.7,6.5,8.4,8.5
,Infrastructure,IND00988,Ranjit Prakash,4.9,,29,2,,0,0,8.3,7.2,7.9,,10,9.7,4.7,8.5
,Infrastructure,IND00699,Amar Narula,4.8,,30,2.6,,0,3.2,7.6,8,5.9,,5.5,0,8.7,9
,Infrastructure,IND06293,Gayatri Shanker,4.7,,31,1.1,,0,0,4.5,4.7,7,,5.3,4.5,7.4,9.5
,Infrastructure,IND00779,Riyaz Bhagat,4.7,,32,1.8,,0,0,7,7.7,5.9,,3.1,0,9.7,9
,Infrastructure,IND02710,Sitara Pillai,4.4,,33,1.5,,0,0,7.2,4.1,7.2,,5.7,5.7,9.8,6.5
,Infrastructure,IND02553,Sameer Jain,4.3,,34,2.1,,0,0,8.1,9,4.8,,6.2,0,5.5,8.5
,Infrastructure,IND01692,Monali Dutta,4.2,,35,1.9,,0,0,7.9,7.2,5.6,,6.7,7.9,1,7.5
,Infrastructure,IND01504,Megha Agarwal,4,,36,2.3,,0,1,8.4,8.3,4.3,,5.3,4.5,0,8
,International Trade,IND01522,Sanjay Notani,9.1,Ranked 1st,1,9.3,Ranked 1st,9,9.6,10,10,9.8,Ranked 2nd,10,-,10,9.6
,International Trade,IND02274,V. Lakshmikumaran,9,Ranked 2nd,2,8.5,Ranked 2nd,10,8.2,8.8,0,10,Ranked 1st,10,-,10,10
,International Trade,IND02203,Devinder Bagia,8,Ranked 3rd,3,7.5,Ranked 3rd,7.6,6.6,7.4,8.8,9.5,Ranked 3rd,9.5,-,10,9.3
,International Trade,IND00723,Dhruv Gupta,7.6,Top 5,4,6.4,Top 5,5.5,7.5,6.7,8.8,8.9,Top 10,9.5,-,8.9,8.7
,International Trade,IND01511,Parthsarathi Jha,7.5,Top 5,5,7,Top 5,8.3,7.1,0,9.8,8.5,Top 10,6.7,-,9.6,8.8
,International Trade,IND07689,Atul Sharma,7.2,Top 10,6,-,,-,-,-,-,-,,-,-,-,-
,International Trade,IND07621,Reena Khair,6.4,Top 10,7,4.1,Top 10,0,9.2,9.1,9.4,8.5,,8.5,-,8.4,8.5
,International Trade,IND07657,Seetharaman Sampath,6.2,Top 10,8,4.1,Top 10,0,10,9.2,7.2,9.1,Top 5,8.2,-,9.4,9.3
,International Trade,IND07570,Anuradha R V,6.1,Top 10,9,3.4,Top 10,0,7.5,6.5,9.1,8.9,Top 10,8.9,-,9,8.8
