Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND01705,Capital Markets - Equity,Photos/Abhiroop-Lahiri-.png,Abhiroop Lahiri,Partner,Delhi,Cyril Amarchand Mangaldas,,5.6,,30,2.9,,0,4.7,6.8,9.2,7.7,,6.9,8,9.4,7,6.7,,6.7,6,7,8.5,,10,10,10,10,10,10,10,10
IND00245,Capital Markets - Equity,Photos/Thomas George.png,Thomas George,Partner,Bengaluru,Khaitan & Co,,5.6,,31,2.7,,0,5.8,4.7,7.9,7.7,,6.1,7.9,9.7,7.5,7.1,,7.3,7,-,-,,-,-,-,-,-,-,-,-
IND02009,Capital Markets - Equity,Photos/Pracheta-Bhattacharya-profile-picture.jpg,Pracheta Bhattacharya,Partner,Mumbai,JSA Advocates & Solicitors,,5.6,,32,2.2,,0,4.7,3.3,7.7,8.5,,8.3,8.8,9.8,7.8,6.3,,5.3,-,-,7.2,,8,10,8,8,8,8,8,8
IND00552,Capital Markets - Equity,Photos/Veena-Final.png,Veena Sivaramakrishnan,Partner,Mumbai,Shardul Amarchand Mangaldas & Co,,5.6,,33,3,,0,5.3,6.8,8.7,7.6,,7.6,7.2,9.2,7.2,6.7,,6.7,8,6,-,,-,-,-,-,-,-,-,-
IND01744,Capital Markets - Equity,Photos/Priyadarshini-Rao.png,Priyadarshini Rao,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.5,,34,2.7,,0,4.7,6,8.3,7.8,,5.5,8.5,10,7.5,6.7,,6.7,8,6,-,,-,-,-,-,-,-,-,-
IND00140,Capital Markets - Equity,Photos/Oishik Bagchi_0.png,Oishik Bagchi,Partner,Mumbai,Khaitan & Co,,5.4,,35,2,,0,0,7.2,8.8,7.9,,7.1,7.9,9.4,7.5,7.5,,7.3,7,8,9.4,Top 10,9.4,9.4,9.4,9.4,9.4,8.6,9.4,9.4
IND00716,Capital Markets - Equity,Photos/Brajendu-bhaskar.png,Brajendu Bhaskar,Partner,Mumbai,Trilegal,,5.4,,36,2.3,,0,2.9,6.5,7.4,7.8,,6.7,7.6,10,7.5,6.9,,7.3,6,-,-,,-,-,-,-,-,-,-,-
IND00406,Capital Markets - Equity,Photos/Abhiroop-Amitava-Datta- ECM.png,Abhiroop Datta,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,5.3,,37,2.4,,0,2.9,7,8.1,7,,5.1,8.1,7.1,7,7.6,Top 10,8,6,8,-,,-,-,-,-,-,-,-,-
IND03141,Capital Markets - Equity,Photos/vinay-sirohia.png,Vinay Sirohia,Partner,Bengaluru,Trilegal,,5.1,,38,1.7,,0,0,6,8.1,7.6,,7.3,8,5.7,8.2,7.1,,6.7,6,8,8.5,,10,10,10,10,10,10,10,10
IND07590,Capital Markets - Equity,Photos/Prashaant Rajput.jpg,Prashant Rajput,Partner,,Economic Laws Practice,,4.9,,39,2.7,,0,4.7,6.5,8.1,6.1,,5.1,6.1,8.1,5.8,6.7,,-,-,-,7,,8,8,8,8,8,8,8,8
IND00004,Capital Markets - Equity,Photos/Ayush Mohata - ECM.png,Aayush Mohata,Partner,Mumbai,Khaitan & Co,,4.2,,40,2.4,,0,2.9,6.2,9,4,,6.7,0,4.7,6.5,8.3,Top 5,8.7,8,8,8.3,,10,10,10,10,10,8,10,10
IND00120,Capital Markets - Debt,Photos/Manisha Shroff.png,Manisha Shroff,Partner,Mumbai,Khaitan & Co,,8.8,Ranked 1st,1,9.3,Ranked 1st,10,8.2,7.9,9.6,9.2,Ranked 2nd,10,10,8.8,8.8,7.1,Top 5,7.3,-,-,9.4,Ranked 2nd,8.6,9.4,9.4,10,10,8.6,8.6,9.4
IND02109,Capital Markets - Debt,Photos/Uttara-M.-Kolhatkar-profile-picture-1024x369.jpg,Uttara M. Kolhatkar,Partner,Mumbai,JSA Advocates & Solicitors,,7.9,Ranked 2nd,2,8.5,Ranked 2nd,8.1,8.4,9.5,9.5,8.5,Top 5,6.5,9.7,10,8,5.3,Top 10,4.7,5,6,-,,-,-,-,-,-,-,-,-
IND00536,Capital Markets - Debt,Photos/shubhangi-garg.png,Shubhangi Garg,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,7.5,Ranked 3rd,3,6.2,Top 5,5.5,5.5,7.5,9.4,8.5,Top 5,8.4,8.5,8.6,8.5,8.1,Ranked 2nd,8.7,7,8,-,,-,-,-,-,-,-,-,-
IND04763,Capital Markets - Debt,Photos/Pranav Sharma - CAM.jpg,Pranav Sharma,Partner,,Cyril Amarchand Mangaldas,,7,Top 5,4,6.2,Top 5,5.5,6,6.4,10,8.3,Top 10,7.7,7.3,9.8,8.2,6,Top 10,6,8,5,8.7,Ranked 3rd,9,10,10,10,8,10,7,7
IND02940,Capital Markets - Debt,Photos/Priyanka-Kumar-2.jpg,Priyanka Kumar,Partner,Mumbai,TT&A,,6.9,Top 5,5,6.6,Ranked 3rd,5.5,7.7,7.9,8.5,7.6,Top 10,9.6,0,10,9.2,5.9,Top 10,4.7,6,7,-,,-,-,-,-,-,-,-,-
IND02962,Capital Markets - Debt,Photos/Rahul-Gulati- DCM.jpg,Rahul Gulati,Partner,Mumbai,TT&A,,6.6,,6,4,Top 10,2.9,2.9,5.7,9.2,9.5,Ranked 1st,10,10,9.9,9,5.9,Top 10,4.7,6,7,8.5,Top 5,10,10,10,10,10,10,10,10
IND07528,Capital Markets - Debt,Photos/Niloufer Lam.webp,Niloufer Lam,Founding Partner,Mumbai,NL LEGAL,,5.9,,7,3.9,Top 10,0,10,6.7,9.2,8.7,Ranked 3rd,8.6,8.7,7.4,9.2,4.5,Top 10,2.7,5,6,-,,-,-,-,-,-,-,-,-
IND02534,Capital Markets - Debt,Photos/Aditya Bhargava.png,Aditya Bhargava,Partner,Mumbai,Trilegal,,5.5,,8,2.5,Top 10,0,4.9,10,0,7,Top 10,8.5,6.6,0,9.8,8.5,Ranked 1st,9.3,6,9,9.8,Ranked 1st,9.6,9.6,10,9.6,9.6,10,10,9.6
IND00398,Capital Markets - Debt,Photos/Subhalakshmi Naskar.jpg,Subhalakshmi Naskar,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.3,,9,3,Top 10,0,4.7,7.5,9.2,6.2,Top 10,0,0,8.8,0,7.9,Ranked 3rd,7.3,7,9,8.3,Top 5,10,10,10,10,10,8,10,10
IND02750,Capital Markets - Debt,Photos/Satadru-Goswami.png,Satadru Goswami,Partner,Mumbai,Saraf and Partners,,4.7,,10,1.5,Top 10,0,0,3.9,9.6,6.5,Top 10,4.1,5.3,7.4,7.5,7.5,Top 5,7.3,7,8,-,,-,-,-,-,-,-,-,-
IND00759,Competition,Photos/Nisha-Kaur-Uberoi-profile-picture.jpg,Nisha Kaur Uberoi,Partner,Mumbai,JSA Advocates & Solicitors,,9,Ranked 1st,1,9.6,Ranked 1st,9.9,10,8,10,10,Ranked 1st,10,-,10,10,5.7,,3.3,6,8,8.1,,10,10,8,10,10,10,10,8
IND00454,Competition,Photos/harman-singh-sandhu.png,Harman Singh Sandhu,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,9,Ranked 2nd,2,9.3,Ranked 2nd,10,9.9,7.9,7,9.1,Top 10,7.4,-,10,9.5,7.9,Top 10,-,-,10,7.6,,10,10,8,8,10,8,8,8
IND00301,Competition,Photos/avantika kakkar.jpg,Avaantika Kakkar,Partner (Head - Competition Law),Mumbai,Cyril Amarchand Mangaldas,,8.7,Ranked 3rd,3,9,Ranked 3rd,8.7,10,8.7,9.1,9.2,Top 5,8.9,-,9.9,9,7.2,,6,8,8,9.1,Top 10,10,10,10,9,10,10,8,9
